,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,408,10/31/2018,-0.013119859560394532,-0.10467630667868584,-0.1036049193443964,-0.12738398275495677,0.05812402124404809,-0.045441772482846296,-0.10880710915444261,-0.11498479710575613,-0.16852435633652418,0.17908862864317535,0.10167189525466867,-0.1265497748089204,-0.12418419576581238,-0.11983850911349436,-0.10912767792659657,-0.11591406445718953,-0.09984280013934847,-0.151720143665449,-0.0842811958142423,-0.10799761946145299,-0.1711557220937721,-0.11549809918396105,-0.08965642533539205,-0.1254476131154255,-0.12426155011619601,-0.0037753780390160753,0.09949529560294393,-0.06933984188539963,-0.05514636637800353,-0.05692340151781441,-0.11983850911349436
1,1318,1/29/2017,-0.013202557678810624,-0.06573646073805911,1.4254946881703439,-0.04765987523777289,0.25464577246044373,-0.07412290518293847,0.696465943702421,-0.11498479710575613,-0.2046567018676233,-0.12400326187527391,-0.15233596787438108,-0.1273768723583759,-0.17392841540550985,-0.09704755221994561,-0.056613355429636705,-0.05890004519458241,-0.10269715094455897,0.013388497116950586,-0.08437544808701085,-0.10700489756363334,-0.18443321964914472,-0.11561608872137297,0.008695582750862582,-0.11699586337472997,-0.12510513636378826,0.21864460956974646,-0.46214362988476887,0.28115820055563584,0.031337316856191205,0.07465009630409784,-0.09704755221994561
2,509,12/31/2018,-0.013209917221534341,-0.09449101024595424,0.06960389947185994,-0.18852405280081838,-0.22517670744674612,-0.0883802574148992,-0.09590344430026687,-0.11498479710575613,-0.2213649337351909,-0.21309768772802815,-0.16834027336892995,-0.12737003684143824,-0.17392841540550985,-0.1468505796101211,-0.10645165537253383,-0.11315689683703183,-0.09735213109696403,-0.11200963557475602,-0.15046025459742718,-0.11437546371768323,-0.18443321964914472,-0.11561608872137297,-0.08965642533539205,-0.13760635415291303,-0.12530131921206553,-0.27049674200190216,0.14991513988373495,0.016208549863179267,0.03442378541627339,-0.19795320842373307,-0.1468505796101211
3,801,12/31/2017,-0.013193947690045262,-0.08427803637726412,-0.1036049193443964,-0.013300604437657074,0.08102738646883713,0.10867077421126606,0.09084817126737638,-0.11498479710575613,-0.19755729155887547,0.5495095953429678,0.05419663741025657,-0.053915571829466415,-0.17392841540550985,-0.09301533421474613,-0.025011136077088877,-0.11870128295059147,-0.10095588674678578,-0.011110643588835754,-0.012003665900441102,-0.0771877862755501,-0.18443321964914472,-0.10505602512300585,-0.08965642533539205,-0.09889070298315156,-0.12461467924309509,-0.08096115912963336,0.14991513988373495,0.028123180854031777,0.03308909630921082,-0.03104720880324586,-0.09301533421474613
4,924,12/31/2018,-0.013216284972895592,-0.1059689351960681,-0.1036049193443964,-0.16603860404095852,-0.22517670744674612,-0.13650353666445814,-0.20699664371391463,-0.1149061246453339,-0.24517360826423576,-0.2212350925176591,-0.17073894777810178,-0.1311178824231816,-0.17007749730634766,-0.155588260315988,-0.11971564413541018,-0.11844855510660753,-0.10251186059672884,-0.20811447422676368,-0.15200969214524365,-0.11751325278931542,-0.18206768355242464,-0.11525917037070191,-0.08965642533539205,-0.14336216030014684,-0.12530014211497587,-0.1713740024731654,0.1464860803224461,-0.22157171846735996,0.03413703580342792,-0.22920405844421138,-0.155588260315988
5,1693,12/31/2016,-0.013213846819129545,-0.10091736490757074,-0.1036049193443964,-0.183670651227747,-0.22517670744674612,-0.13283878690397827,-0.19338841496317474,-0.11498479710575613,-0.24210505889353862,-0.14119703390259328,-0.13769534390847746,-0.13154605920415588,-0.17392841540550985,-0.1507122719615076,-0.12179560537331864,-0.11870128295059147,-0.10263812429238636,-0.2139971704253152,-0.15359850619812784,-0.11631454109769819,-0.16041979455432145,0.008717156169502121,-0.08848254652920126,-0.1419951367035298,-0.09897907409300771,-0.17793822588436295,0.14991513988373495,-0.2450527066201016,0.1901636522352528,-0.1972413048827149,-0.1507122719615076
6,31,12/31/2017,-0.013208183465042767,-0.10353336696077918,-0.1036049193443964,-0.18853906842044826,-0.22517670744674612,-0.1395846780767659,-0.2268004703398602,-0.11498459402308613,-0.03570812769232904,-0.2293097980660859,-0.08957113208650923,-0.13004894428447208,-0.1663057951733925,-0.13705398930655463,-0.12320173993991167,-0.11156420055508787,-0.10269715094455897,-0.22249983665766426,-0.10809794225312151,-0.1136320253186494,-0.18039814531142973,-0.11293418653599996,-0.08965642533539205,-0.1339147321467663,-0.12509493485567785,-0.20742153177862518,0.14991513988373495,0.022438247682477076,0.03469385141528058,-0.1411451284950912,-0.13705398930655463
7,1633,12/31/2019,-0.013215236829751174,-0.10512920178908693,-0.035911570324675395,-0.18464295676236828,-0.22517670744674612,-0.1356530883776256,-0.19018910647430917,-0.11490827025789085,-0.24132523552405424,-0.2295840004697171,-0.17097480070117932,-0.13144926828431877,-0.17392841540550985,-0.154707621702927,-0.1215565100944674,-0.1179612050697693,-0.10226363126261086,-0.2077630164408713,-0.13805770274856247,-0.11519831986854263,-0.18153744026295524,-0.11561608872137297,-0.08965642533539205,-0.14022208501046265,-0.12530112302921725,-0.24462121173337428,0.14991513988373495,-0.13053209012796882,0.03470427867392951,-0.24623399194651951,-0.154707621702927
8,1481,6/30/2017,-0.01318833824582989,-0.08751087621986789,-0.1036049193443964,-0.11398828350162628,-0.06302873769080496,-0.08232282437907122,-0.04898266873667927,-0.11498479710575613,-0.21472285568559385,-0.047658137314346406,-0.12405512345064294,-0.12873946430472674,-0.12154110820516202,-0.13600352804918733,-0.10438993021521571,-0.11870128295059147,-0.1021249803456983,-0.17498891826341542,-0.11594608464881367,-0.11782135112117445,-0.15571227921138273,-0.11561608872137297,-0.08965642533539205,-0.13426781099677207,-0.12518969117139578,-0.020133385751704348,-0.03794293234695278,-0.09090800644735843,-0.004753302234299529,-0.1291501971152673,-0.13600352804918733
9,114,6/30/2019,-0.013216928510245555,-0.10623535358169874,-0.1036049193443964,-0.19297768558303802,-0.22517670744674612,-0.13933891904802043,-0.22529291559771852,-0.11498479710575613,-0.246027522794996,-0.2295840004697171,-0.17097480070117932,-0.131614892859718,-0.17392841540550985,-0.1571214140137594,-0.1257911935137007,-0.11870128295059147,-0.1026925002262586,-0.22219244302360674,-0.15359850619812784,-0.11791597485127615,-0.18443321964914472,-0.11561608872137297,-0.08965642533539205,-0.1445085665702931,-0.10373729289512461,-0.17223484087367835,0.14991513988373495,-0.2450527066201016,0.03484358684947916,-0.23361180278556207,-0.1571214140137594
