,0
526,10.16
527,48.09
528,31.57
529,152.45
530,41.85
531,26.35
532,290.24
533,17.15
534,30.1
535,34.0
536,67.1384
537,0.3409
538,0.05
539,14.285
540,1.9
541,24.4
542,6.32
543,734.91
544,11.55
545,12.4
546,10.45
547,10.0
548,2.02
549,24.35
550,112.23
551,9.82
552,9.75
553,47.03
554,61.94
555,16.77
556,9.89
557,7.3
558,0.5509
559,9.35
560,45.74
561,41.56
562,11.85
563,13.76
564,43.51
565,14.78
566,6.75
567,4.25
568,158.19
569,431.79
570,65.74
571,14.35
572,101.7
573,48.96
574,29.76
575,26.0
576,25.58
577,55.68
578,14.99
579,9.84
580,135.34
581,21.81
582,11.54
583,20.87
584,21.26
585,7.362
586,16.52
587,169.16
588,2.12
589,26.69
590,26.21
591,62.56
592,14.28
593,66.56
594,22.16
595,15.32
596,38.24
597,30.26
598,83.388
599,43.88
600,1.5
601,28.74
602,51.63
603,1.24
604,15.38
605,10.46
606,65.175
607,15.8
608,8.86
609,4.157
610,1.834
611,0.6
612,39.89
613,46.07
614,27.9
615,29.38
616,5.68
617,16.41
618,6.5742
619,5.8
620,36.2
621,18.0
622,52.02
623,72.03
624,16.46
625,19.3
626,4.43
627,10.05
628,81.68
629,1.5181
630,33.61
631,23.73
632,17.47
633,14.5206
634,93.74
635,2.65
636,25.9399
637,2.9
638,25.2972
639,39.08
640,37.55
641,46.07
642,226.0
643,2.35
644,10.08
645,0.72
646,27.37
647,14.025
648,36.23
649,3.81
650,26.13
651,17.53
652,27.78
653,31.9
654,157.18
655,17.2002
656,5.787
657,33.85
658,9.68
659,3538.01
660,41.0
661,66.05
662,1.59
663,1.07
664,10.26
665,13.59
666,7.75
667,25.44
668,95.45
669,32.96
670,12.63
671,216.36
672,13.65
673,4.73
674,1.659
675,25.64
676,86.58
677,1.86
678,42.45
679,18.74
680,109.52
681,4.7
682,21.9295
683,56.16
684,16.98
685,31.44
686,36.66
687,99.47
688,14.8
689,9.75
690,4.35
691,234.68
692,37.99
693,77.52
694,0.129
695,3.34
696,5.19
697,105.24
698,25.75
699,9.01
700,24.7
701,147.43
702,41.95
703,45.89
704,4.07
705,8.89
706,52.0
707,48.84
708,57.25
709,8.25
710,0.815
711,29.2
712,12.6
713,125.75
714,4.01
715,20.11
716,17.87
717,17.41
718,24.75
719,14.6015
720,12.72
721,34.28
722,17.7
723,12.72
724,25.16
725,20.72
726,93.25
727,28.87
728,2.6
729,0.795
730,110.48
731,42.55
732,7.28
733,1.0
734,57.62
735,21.91
736,95.0
737,57.65
738,106.55
739,15.65
740,12.73
741,38.7725
742,54.1505
743,22.4253
744,58.32
745,3.83
746,10.02
747,19.275
748,31.54
749,82.24
750,3.215
751,40.1549
752,93.13
753,31.19
754,70.9
755,21.77
756,78.025
757,22.81
758,9.725
759,29.7
760,12.83
761,18.31
762,26.0
763,5.95
764,8.28
765,45.11
766,6.67
767,16.11
768,2.94
769,93.38
770,52.26
771,159.01
772,39.32
773,10.26
774,4.31
775,1.01
776,13.23
777,12.63
778,14.8
779,39.14
780,45.31
781,105.15
782,26.16
783,231.57
784,25.87
785,0.4441
786,6.23
787,17.63
788,34.6814
789,2.81
790,17.26
791,25.99
792,30.74
793,37.99
794,24.25
795,2.7925
796,51.85
797,11.98
798,28.25
799,153.47
800,7.05
801,26.8
802,27.21
803,36.27
804,6.91
805,22.8
806,6.0
807,13.23
808,15.0
809,37.82
810,0.118
811,12.22
812,28.12
813,182.56
814,9.08
815,52.19
816,12.72
817,81.28
818,5.21
819,1.81
820,28.7977
821,57.14
822,2.12
823,16.48
824,23.49
825,6.85
826,41.89
827,0.719
828,146.91
829,46.6477
830,18.1
831,5.15
832,16.32
833,19.22
834,102.73
835,8.58
836,6.35
837,11.92
838,5.74
839,8.58
840,22.89
841,6.23
842,1.94
843,39.59
844,39.22
845,0.6
846,68.64
847,10.11
848,31.43
849,21.0
850,92.48
851,1.22
852,91.45
853,12.2
854,1.87
855,2.91
856,19.01
857,3256.93
858,126.6
859,40.64
